"key","message","comment","context"
"Accepted",,,
"Address",,,
"Addresses",,,
"Apply taxes",,,
"Cancelled",,,
"Cards",,,
"City",,,
"Code",,,
"Configuration",,,
"Contact",,,
"Contacts",,,
"Countries",,,
"Country",,,
"Date of birth",,,
"Dates are incorrect",,,
"Draft",,,
"Email",,,
"End date",,,
"Event",,,
"Event Calender",,,
"Events",,,
"Family members",,,
"Finished",,,
"First name",,,
"FullName",,,
"Kanban",,,
"Last name",,,
"MainPanel",,,
"Meeting",,,
"Missing contact",,,
"Name",,,
"Notes",,,
"N° / Street",,,
"Other",,,
"Other Informations",,,
"Phone Call",,,
"Phone number",,,
"Planned for",,,
"Postponed",,,
"Profile",,,
"Proposed",,,
"Refused",,,
"Related sale order details",,,
"Sale Orders",,,
"Should be > to 1930",,,
"Start date",,,
"Status",,,
"Title",,,
"Titles",,,
"Type",,,
"Upcoming events",,,
"User created!",,,
"Zip",,,
"mainPanel",,,
"profile picture",,,
